Year,Title,Authors,Journal,Volume,DOI
2023,The Atlantic meridional overturning circulation during Heinrich Stadial 1,"Jena, P.S., Chiessi, C.M., Voigt, I., Mulitza, S.",AGU Fall Meeting,(OS43A-03),
2022,Paleo Thermocline Ventilation and Upper Ocean Water Mass Evolution of the Equatorial Indian Ocean during the Last 44ka,"Jena, S.K., Bhushan, R., Bharti, N., Jena, P.S.",AGU Fall Meeting,(PP15B-03),
2021,10Be/9Be Ratio Variation in the Central Indian Ocean during the Last 43 ka; Implication to Past Geomagnetic Field Intensity Changes,"Jena, P.S., Bhushan, R., Ajay, S., Bharti, N., Sudheer, A.K.",AGU Fall Meeting,(GP43A-05),
2021,First Radiocarbon Evidence of Poorly Ventilated Deep Central Indian Ocean during the Last Glaciation,"Bharti, N., Bhushan, R., Skinner, L., Muruganantham, M., Jena, P.S., Dabhi, A., Shivam, A.",AGU Fall Meeting,(OS21A-09),
2020,Seasonal freshwater flux to the Bengal basin during late Holocene solar minima events,"Ghosh, P., Banerjee, Y., Sarkar, A., Pathak, P., Bhushan, R., Jena, P.S., Sen, P.K.",AGU Fall Meeting,(PP022-0010),
